Tiempo,Poligono 1,Poligono 2,Poligono 3,Poligono 4,Poligono 5,Poligono 6,Poligono 7
1,1,3,1,26,0,0,0
3,1,3,1,27,0,0,0
5,1,3,1,26,0,0,0
7,1,3,1,26,0,0,0
9,1,3,1,26,0,0,0
11,1,3,1,26,0,0,0
13,2,3,1,25,0,0,0
15,1,3,1,26,0,0,0
17,1,3,1,25,0,0,0
19,1,3,1,27,0,0,0
21,1,3,1,28,0,0,0
23,1,3,1,26,0,0,0
25,1,3,1,25,0,0,0
27,1,3,1,25,0,0,0
29,1,3,1,26,0,0,0
31,1,3,1,25,0,0,0
33,0,3,1,28,0,0,0
35,0,3,1,28,0,0,0
37,0,4,1,27,0,0,0
39,0,3,1,26,0,0,0
41,1,3,1,26,0,0,0
43,1,4,1,25,0,0,0
45,1,4,1,27,0,0,0
47,1,4,1,23,0,0,0
49,1,4,1,24,0,0,0
51,1,4,0,26,0,0,0
53,1,4,0,27,0,0,0
55,1,4,0,26,0,0,0
57,1,4,0,26,0,0,0
59,1,4,0,25,0,0,0
61,1,4,0,27,0,0,0
63,1,4,0,26,0,0,0
65,1,4,0,26,0,0,0
67,1,3,0,26,0,0,0
69,2,4,0,27,0,0,0
71,2,4,1,23,0,0,0
73,2,4,1,23,0,0,0
75,3,4,1,24,0,0,0
77,2,4,1,24,0,0,0
79,3,4,1,23,0,0,0
81,3,4,1,24,0,0,0
83,3,4,1,24,0,0,0
85,3,4,1,22,0,0,0
87,3,4,1,21,0,0,0
89,3,4,2,21,0,0,0
91,3,4,2,22,0,0,0
93,3,4,2,23,0,0,0
95,3,4,2,20,0,0,0
97,3,4,2,23,0,0,0
99,3,4,2,23,0,0,0
101,3,4,2,20,0,0,0
103,2,4,3,20,0,0,0
105,2,4,3,20,0,0,0
107,2,4,3,21,0,0,0
109,2,4,3,20,0,0,0
111,2,4,3,19,0,0,0
113,2,4,3,21,0,0,0
115,2,4,3,20,0,0,0
117,1,3,3,21,0,0,0
119,1,3,2,24,0,0,0
121,1,3,1,24,0,0,0
123,1,3,1,23,0,0,0
125,1,3,1,23,0,0,0
127,1,3,2,24,0,0,0
129,1,2,2,27,0,0,0
131,1,2,1,24,0,0,0
133,0,2,1,24,0,0,0
135,0,2,1,25,0,0,0
137,0,2,1,24,0,0,0
139,0,2,0,24,0,0,0
141,0,2,0,23,0,0,0
143,0,2,0,25,0,0,0
145,0,2,0,25,0,0,0
147,0,2,0,25,0,0,0
149,0,2,0,25,0,0,0
151,0,2,0,27,0,0,0
153,0,2,0,25,0,0,0
155,0,2,0,25,0,0,0
157,0,2,0,24,0,0,0
159,0,2,1,24,0,0,0
161,0,2,1,24,0,0,0
163,0,2,1,24,0,0,0
165,0,3,1,24,0,0,0
167,0,3,1,24,0,0,0
169,0,3,1,23,0,0,0
171,0,3,1,24,0,0,0
173,0,3,1,22,0,0,0
175,0,3,1,23,0,0,0
177,0,3,1,25,0,0,0
179,0,3,1,25,0,0,0
181,0,3,1,25,0,0,0
183,0,3,1,25,0,0,0
185,0,3,1,24,0,0,0
187,0,3,1,24,0,0,0
189,2,3,1,22,0,0,0
191,2,3,1,22,0,0,0
193,2,3,1,23,0,0,0
195,2,3,1,21,0,0,0
197,2,3,1,21,0,0,0
199,2,3,1,20,0,0,0
201,2,3,1,21,0,0,0
203,2,3,1,21,0,0,0
205,2,3,1,21,0,0,0
207,2,3,1,20,0,0,0
209,2,2,1,23,0,0,0
211,2,2,1,22,0,0,0
213,2,2,1,22,0,0,0
215,2,2,1,22,0,0,0
217,2,2,1,22,0,0,0
219,3,2,1,19,0,0,0
221,3,2,1,19,0,0,0
223,3,2,1,19,0,0,0
225,3,2,1,19,0,0,0
227,3,2,1,19,0,0,0
229,3,3,0,20,0,0,0
231,2,3,0,19,0,0,0
233,2,3,0,18,0,0,0
235,2,3,0,21,0,0,0
237,2,3,0,21,0,0,0
239,2,3,0,19,0,0,0
241,1,3,0,21,0,0,0
243,1,3,0,20,0,0,0
245,2,3,0,19,0,0,0
247,2,3,0,18,0,0,0
249,2,3,0,16,0,0,0
251,2,4,0,16,0,0,0
253,2,4,0,17,0,0,0
255,4,4,0,17,0,0,0
257,4,2,0,18,0,0,0
259,3,3,0,17,0,0,0
261,4,3,0,18,0,0,0
263,5,3,0,17,0,0,0
265,4,3,0,17,0,0,0
267,4,3,1,17,0,0,0
269,3,4,1,16,0,0,0
271,3,4,1,18,0,0,0
273,3,4,1,18,0,0,0
275,3,3,1,17,0,0,0
277,3,3,1,18,0,0,0
279,3,3,1,18,0,0,0
281,3,3,1,20,0,0,0
283,3,3,1,20,0,0,0
285,3,2,1,18,0,0,0
287,3,2,1,19,0,0,0
289,3,3,1,19,0,0,0
291,3,3,1,20,0,0,0
293,4,3,1,17,0,0,0
295,4,3,1,17,0,0,0
297,4,3,1,19,0,0,0
299,3,3,1,19,0,0,0
301,3,3,1,18,0,0,0
303,3,3,1,19,0,0,0
305,3,4,1,20,0,0,0
307,3,4,1,20,0,0,0
309,2,4,1,18,0,0,0
311,2,4,1,19,0,0,0
313,2,4,1,18,0,0,0
315,2,4,1,19,0,0,0
317,2,4,1,21,0,0,0
319,2,4,1,19,0,0,0
321,4,4,1,20,0,0,0
323,4,4,1,20,0,0,0
325,4,4,1,21,0,0,0
327,2,4,1,19,0,0,0
329,3,4,1,20,0,0,0
331,2,4,1,20,0,0,0
333,2,4,1,20,0,0,0
335,2,4,1,20,0,0,0
337,2,4,1,19,0,0,0
339,2,4,1,19,0,0,0
341,2,4,1,19,0,0,0
